lineNumber,shotId,recordType,plateType,family,capacityMl,neckFinish,geometryOrAuthorityKey,appearance,materialEvidence,sourceIdentity,sourceReferenceUrls,catalogSkuCount,cohortKeys,status,priority,authorityStatus,compatibilityStatus,nextGate,existingAssetPaths,existingAssetSha256,notes
32,shot__body__bell__10ml__55x27x27.0__3cf7b29787__clear,body-appearance,body,Bell,10,13-415,body__bell__10ml__55x27x27.0__3cf7b29787,Clear,Glass,,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1779585406639_0wb6yh.png?v=1779588183 | https://cdn.shopify.com/s/files/1/0739/9420/7524/files/master_corrected_1781857434439_h6p8jw.png?v=1781857590 | https://www.bestbottles.com/images/store/enlarged_pics/GBBell10BlkShSht.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBell10MtlRollBlkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBell10RollBlkDot.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBell10SpryBlkSh.gif,4,BELL-10ML-13-415,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,d:override_applied×3 | h:override_applied×3
33,shot__body__boston-round__15ml__68x25x25.0__a715257e0b__amber,body-appearance,body,Boston Round,15,18-400,body__boston-round__15ml__68x25x25.0__a715257e0b,Amber,Glass,,https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb15mlBlkCapSht.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb15mlBlkDropper.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb15mlBlkDropperGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb15mlBlkDropperSlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb15mlWhtDropper.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb15mlWhtDropperGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb15mlWhtDropperSlTrim.gif,7,BOSTON-ROUND-15ML-18-400,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,d:override_applied×1 | h:override_applied×1
34,shot__body__boston-round__15ml__68x25x25.0__a715257e0b__clear,body-appearance,body,Boston Round,15,18-400,body__boston-round__15ml__68x25x25.0__a715257e0b,Clear,Glass,,https://cdn.shopify.com/s/files/1/0739/9420/7524/files/GB-BSR-CLR-15ML-DRP-BLK__GBBstn15BlkDrp__pdp-main__v001.png?v=1781252198 | https://www.bestbottles.com/images/store/depthview/GBBstn15BlkCapSht.gif | https://www.bestbottles.com/images/store/depthview/GBBstn15BlkDrp.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn15BlkCapSht.gif,2,BOSTON-ROUND-15ML-18-400,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,d:override_applied×1 | h:override_applied×1
35,shot__body__boston-round__15ml__68x25x25.0__a715257e0b__cobalt-blue,body-appearance,body,Boston Round,15,18-400,body__boston-round__15ml__68x25x25.0__a715257e0b,Cobalt Blue,Glass,,https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu15BlkCapSht.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu15BlkDrp.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu15BlkDrpGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu15WhtDrp.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu15WhtDrpGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu15WhtDrpSlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu15mlBlkDropperSlTrim.gif,7,BOSTON-ROUND-15ML-18-400,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,d:override_applied×1 | h:override_applied×1
36,shot__body__boston-round__30ml__78x33x33.0__931b5f7ec5__amber,body-appearance,body,Boston Round,30,20-400,body__boston-round__30ml__78x33x33.0__931b5f7ec5,Amber,Glass,,https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozBlkCapSht.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozBlkDropper.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozBlkDropperShnGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozMtlRollonGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozMtlRollonMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozMtlRollonMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozMtlRollonMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozMtlRollonShnBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozMtlRollonShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozRollonGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozRollonMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozRollonMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozRollonMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozRollonShnBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozRollonShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozWhtDropper.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozWhtDropperShnGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb1ozWhtDropperShnSlTrim.gif,18,BOSTON-ROUND-30ML-20-400,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,site_depth_semantics_suspect(round-family)×52 | d:dup_lineage_stale_value×1 | h:dup_lineage_stale_value×1
37,shot__body__boston-round__30ml__68x33x33.0__0ccee9434c__clear,body-appearance,body,Boston Round,30,20-400,body__boston-round__30ml__68x33x33.0__0ccee9434c,Clear,Glass,,https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozBlkCapSht.gif,1,BOSTON-ROUND-30ML-20-400,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,site_depth_semantics_suspect(round-family)×1
38,shot__body__boston-round__30ml__78x33x33.0__931b5f7ec5__clear,body-appearance,body,Boston Round,30,20-400,body__boston-round__30ml__78x33x33.0__931b5f7ec5,Clear,Glass,,https://www.bestbottles.com/images/store/depthview/GBBstn1ozBlkDrp.gif | https://www.bestbottles.com/images/store/depthview/GBBstn1ozBlkDrpShnGlTrim.gif | https://www.bestbottles.com/images/store/depthview/GBBstn1ozWhtDrp.gif | https://www.bestbottles.com/images/store/depthview/GBBstn1ozWhtDrpShnGlTrim.gif | https://www.bestbottles.com/images/store/depthview/GBBstn1ozWhtDrpShnSlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozBlkDrp.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozBlkDrpShnGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozMtlRollonBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozMtlRollonGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozMtlRollonMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozMtlRollonMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozMtlRollonMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozMtlRollonShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozRollMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozRollMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozRollMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozRollShBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozRollShGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozRollShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozWhtDrp.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozWhtDrpShnGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn1ozWhtDrpShnSlTrim.gif,17,BOSTON-ROUND-30ML-20-400,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,site_depth_semantics_suspect(round-family)×52 | d:dup_lineage_stale_value×1 | h:dup_lineage_stale_value×1
39,shot__body__boston-round__30ml__78x33x33.0__931b5f7ec5__cobalt-blue,body-appearance,body,Boston Round,30,20-400,body__boston-round__30ml__78x33x33.0__931b5f7ec5,Cobalt Blue,Glass,,https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozBlkCapSht.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozBlkDropper.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozBlkDropperShnGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozMtlRollonGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozMtlRollonMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozMtlRollonMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozMtlRollonMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozMtlRollonShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozRollonGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozRollonMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozRollonMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozRollonMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozRollonShnBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozRollonShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozWhtDropper.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozWhtDropperShnGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu1ozWhtDropperShnSlTrim.gif,17,BOSTON-ROUND-30ML-20-400,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,site_depth_semantics_suspect(round-family)×52 | d:dup_lineage_stale_value×1 | h:dup_lineage_stale_value×1
40,shot__body__boston-round__60ml__94x39x39.0__d83ceabb5f__amber,body-appearance,body,Boston Round,60,20-400,body__boston-round__60ml__94x39x39.0__d83ceabb5f,Amber,Glass,,https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozBlkCapSht.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozBlkDropper.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozBlkDropperShnGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozBlkDropperShnSlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozMtlRollonGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozMtlRollonMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozMtlRollonMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozMtlRollonMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozMtlRollonShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozRollonGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozRollonMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozRollonMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozRollonMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozRollonShnBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozRollonShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozWhtDropper.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozWhtDropperShnGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnAmb2ozWhtDropperShnSlTrim.gif,18,BOSTON-ROUND-60ML-20-400,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,site_depth_semantics_suspect(round-family)×54
41,shot__body__boston-round__60ml__94x39x39.0__d83ceabb5f__clear,body-appearance,body,Boston Round,60,20-400,body__boston-round__60ml__94x39x39.0__d83ceabb5f,Clear,Glass,,https://www.bestbottles.com/images/store/depthview/GBBstn2ozBlkDropperShnGlTrim.gif | https://www.bestbottles.com/images/store/depthview/GBBstn2ozBlkDropperShnSlTrim.gif | https://www.bestbottles.com/images/store/depthview/GBBstn2ozBlkDrp.gif | https://www.bestbottles.com/images/store/depthview/GBBstn2ozWhtDropper.gif | https://www.bestbottles.com/images/store/depthview/GBBstn2ozWhtDropperShnGlTrim.gif | https://www.bestbottles.com/images/store/depthview/GBBstn2ozWhtDropperShnSlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozBlkCapSht.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozBlkDropperShnGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozBlkDropperShnSlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozBlkDrp.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozMtlRollonBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozMtlRollonGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozMtlRollonMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozMtlRollonMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozMtlRollonMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozMtlRollonShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozRollonGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozRollonMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozRollonMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozRollonMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozRollonShnBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozRollonShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozWhtDropper.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozWhtDropperShnGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstn2ozWhtDropperShnSlTrim.gif,19,BOSTON-ROUND-60ML-20-400,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,site_depth_semantics_suspect(round-family)×54
42,shot__body__boston-round__60ml__94x39x39.0__d83ceabb5f__cobalt-blue,body-appearance,body,Boston Round,60,20-400,body__boston-round__60ml__94x39x39.0__d83ceabb5f,Cobalt Blue,Glass,,https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozBlkCapSht.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozBlkDropper.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozBlkDropperShnGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozMtlRollonGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozMtlRollonMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozMtlRollonMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozMtlRollonMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozMtlRollonShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozRollonGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozRollonMattBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozRollonMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozRollonMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozRollonShnBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozRollonShnSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozWhtDropper.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozWhtDropperShnGlTrim.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBBstnBlu2ozWhtDropperShnSlTrim.gif,17,BOSTON-ROUND-60ML-20-400,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,site_depth_semantics_suspect(round-family)×54
43,shot__body__circle__30ml__74x60x20.0__cb505856ba__clear,body-appearance,body,Circle,30,15-415,body__circle__30ml__74x60x20.0__cb505856ba,Clear,Glass,,https://www.bestbottles.com/images/store/depthview/GBCrcl30GlCap.gif | https://www.bestbottles.com/images/store/depthview/GBCrcl30SlCap.gif | https://www.bestbottles.com/images/store/depthview/GBCrcl30SpryBlk.gif | https://www.bestbottles.com/images/store/depthview/GBCrcl30SpryMattGl.gif | https://www.bestbottles.com/images/store/depthview/GBCrcl30SpryMattSl.gif | https://www.bestbottles.com/images/store/depthview/GBCrcl30SpryShSl.gif | https://www.bestbottles.com/images/store/depthview/GBCrcl30SpryShnGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl30GlCap.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl30SlCap.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl30SpryBlk.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl30SpryMattGl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl30SpryMattSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl30SpryShSl.gif | https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl30SpryShnGl.gif | https://www.bestbottles.com/images/store/measured/GBCrcl30GlCap.gif | https://www.bestbottles.com/images/store/measured/GBCrcl30SlCap.gif | https://www.bestbottles.com/images/store/measured/GBCrcl30SpryBlk.gif | https://www.bestbottles.com/images/store/measured/GBCrcl30SpryMattGl.gif | https://www.bestbottles.com/images/store/measured/GBCrcl30SpryMattSl.gif | https://www.bestbottles.com/images/store/measured/GBCrcl30SpryShSl.gif | https://www.bestbottles.com/images/store/measured/GBCrcl30SpryShnGl.gif,7,CIRCLE-30ML-15-415,manual-review-required,P0-TRUTH,missing,measured-body-geometry-only,Resolve catalog geometry/body-color truth before authority creation.,,,convex_widthaxis_corrected_by_site(was=37.0)×7
